ticker,long_name,short_name,unit
AKDCM1 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M1,Sin Jet Ker Cr Dub 1st Cr M1,USD/barrel
AKDCM2 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M2,Sin Jet Ker Cr Dub 1st Cr M2,USD/barrel
AKDCM3 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M3,Sin Jet Ker Cr Dub 1st Cr M3,USD/barrel
AKDCM4 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M4,Sin Jet Ker Cr Dub 1st Cr M4,USD/barrel
AKDCM5 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M5,Sin Jet Ker Cr Dub 1st Cr M5,USD/barrel
AKDCM6 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M6,Sin Jet Ker Cr Dub 1st Cr M6,USD/barrel
CL1 Comdty,#N/A Field Not Applicable,Generic 1st 'CL' Future,USD/bbl.
CL2 Comdty,#N/A Field Not Applicable,Generic 2nd 'CL' Future,USD/bbl.
CL3 Comdty,#N/A Field Not Applicable,Generic 3rd 'CL' Future,USD/bbl.
CL4 Comdty,#N/A Field Not Applicable,Generic 4th 'CL' Future,USD/bbl.
CL5 Comdty,#N/A Field Not Applicable,Generic 5th 'CL' Future,USD/bbl.
CL6 Comdty,#N/A Field Not Applicable,Generic 6th 'CL' Future,USD/bbl.
CO1 Comdty,#N/A Field Not Applicable,Generic 1st 'CO' Future,USD/bbl.
CO2 Comdty,#N/A Field Not Applicable,Generic 2nd 'CO' Future,USD/bbl.
CO3 Comdty,#N/A Field Not Applicable,Generic 3rd 'CO' Future,USD/bbl.
CO4 Comdty,#N/A Field Not Applicable,Generic 4th 'CO' Future,USD/bbl.
CO5 Comdty,#N/A Field Not Applicable,Generic 5th 'CO' Future,USD/bbl.
CO6 Comdty,#N/A Field Not Applicable,Generic 6th 'CO' Future,USD/bbl.
DJISM1 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M1,BFV Jet vs GO Spread M1,USD/barrel
DJISM2 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M2,BFV Jet vs GO Spread M2,USD/barrel
DJISM3 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M3,BFV Jet vs GO Spread M3,USD/barrel
DJISM4 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M4,BFV Jet vs GO Spread M4,USD/barrel
DJISM5 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M5,BFV Jet vs GO Spread M5,USD/barrel
DJISM6 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M6,BFV Jet vs GO Spread M6,USD/barrel
DOEBDIST Index,DOE Total US Distillate Fuel Exports,DOE Total US Dist Fuel Exports,1000 Barrels/Day
DOEBKJET Index,DOE Total US Kerosene-type Jet Fuel Exports,DOE Total US Jet Fuel Exports,1000 Barrels/Day
DOEIABP1 Index,DOE All Other Blending Components Import Data/PADD 1,All Other Blending Comp/PADD 1,1000 Barrels/Day
DOEIABP2 Index,DOE All Other Blending Components Import Data/PADD 2,All Other Blending Comp/PADD 2,1000 Barrels/Day
DOEIABP3 Index,DOE All Other Blending Components Import Data/PADD 3,All Other Blending Comp/PADD 3,1000 Barrels/Day
DOEIABP4 Index,DOE All Other Blending Components Import Data/PADD 4,All Other Blending Comp/PADD 4,1000 Barrels/Day
DOEIABP5 Index,DOE All Other Blending Components Import Data/PADD 5,All Other Blending Comp/PADD 5,1000 Barrels/Day
DOEIBCP1 Index,DOE Blending Components Import Data/PADD 1,Blending Comp Imports/PADD 1,1000 Barrels/Day
DOEIBCP2 Index,DOE Blending Components Import Data/PADD 2,Blending Comp Imports/PADD 2,1000 Barrels/Day
DOEIBCP3 Index,DOE Blending Components Import Data/PADD 3,Blending Comp Imports/PADD 3,1000 Barrels/Day
DOEIBCP4 Index,DOE Blending Components Import Data/PADD 4,Blending Comp Imports/PADD 4,1000 Barrels/Day
DOEIBCP5 Index,DOE Blending Components Import Data/PADD 5,Blending Comp Imports/PADD 5,1000 Barrels/Day
DOEIBLND Index,DOE Oil Blending Components Total Import Data,DOE Tot Oil Blndg Cmpnts Imprt,1000 Barrels/Day
DOEICBOB Index,DOE CBOB Gasoline Total Import Data,CBOB Imprts,1000 Barrels/Day
DOEICBP1 Index,DOE CBOB Gasoline Import Data/PADD 1,CBOB Imports/PADD 1,1000 Barrels/Day
DOEICBP2 Index,DOE CBOB Gasoline Import Data/PADD 2,CBOB Imports/PADD 2,1000 Barrels/Day
DOEICBP3 Index,DOE CBOB Gasoline Import Data/PADD 3,CBOB Imports/PADD 3,1000 Barrels/Day
DOEICBP4 Index,DOE CBOB Gasoline Import Data/PADD 4,CBOB Imports/PADD 4,1000 Barrels/Day
DOEICBP5 Index,DOE CBOB Gasoline Import Data/PADD 5,CBOB Imports/PADD 5,1000 Barrels/Day
DOEICESP Index,DOE Crude Oil Total Imports Excluding Strategic Reserves Data,DOE Tot Crud Imp Ex Strtgc Rsv,1000 Barrels/Day
DOEICISP Index,DOE Crude Oil Total Imports Including Strategic Reserves Data,DOE Tot Crud Imp In Strtgc Rsv,1000 Barrels/Day
DOEICON1 Index,DOE Conventional Gasoline Import Data/PADD 1,Conventional Imports/PADD 1,1000 Barrels/Day
DOEICON2 Index,DOE Conventional Gasoline Import Data/PADD 2,Conventional Imports/PADD 2,1000 Barrels/Day
DOEICON3 Index,DOE Conventional Gasoline Import Data/PADD 3,Conventional Imports/PADD 3,1000 Barrels/Day
DOEICON4 Index,DOE Conventional Gasoline Import Data/PADD 4,Conventional Imports/PADD 4,1000 Barrels/Day
DOEICON5 Index,DOE Conventional Gasoline Import Data/PADD 5,Conventional Imports/PADD 5,1000 Barrels/Day
DOEICOOT Index,DOE Other Conventional Gasoline Total Import Data,Other Conventional Imprts,1000 Barrels/Day
DOEICOWA Index,DOE Conventional Gasoline with Alcohol Total Import Data,Conventional w Alc Imprts,1000 Barrels/Day
DOEICRP1 Index,DOE Crude Oil Import Data/PADD 1,DOE Crude Oil Imports/PADD 1,1000 Barrels/Day
DOEICRP2 Index,DOE Crude Oil Import Data/PADD 2,DOE Crude Oil Imports/PADD 2,1000 Barrels/Day
DOEICRP3 Index,DOE Crude Oil Import Data/PADD 3,DOE Crude Oil Imports/PADD 3,1000 Barrels/Day
DOEICRP4 Index,DOE Crude Oil Import Data/PADD 4,DOE Crude Oil Imports/PADD 4,1000 Barrels/Day
DOEICRP5 Index,DOE Crude Oil Import Data/PADD 5,DOE Crude Oil Imports/PADD 5,1000 Barrels/Day
DOEICWA1 Index,DOE Conventional Gasoline with Alcohol Import Data/PADD 1,Conv w Alcohol Imprts/PADD 1,1000 Barrels/Day
DOEICWA2 Index,DOE Conventional Gasoline with Alcohol Import Data/PADD 2,Conv w Alcohol Imprts/PADD 2,1000 Barrels/Day
DOEICWA3 Index,DOE Conventional Gasoline with Alcohol Import Data/PADD 3,Conv w Alcohol Imprts/PADD 3,1000 Barrels/Day
DOEICWA4 Index,DOE Conventional Gasoline with Alcohol Import Data/PADD 4,Conv w Alcohol Imprts/PADD 4,1000 Barrels/Day
DOEICWA5 Index,DOE Conventional Gasoline with Alcohol Import Data/PADD 5,Conv w Alcohol Imprts/PADD 5,1000 Barrels/Day
DOEIDG15 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data,> 15ppm to 500ppm Imports,1000 Barrels/Day
DOEIDG21 Index,DOE Greater Than .20% Sulfur Diesel Import Data/PADD 1,> 20% Sulfur Imports/PADD1,000 barrels/day
DOEIDG22 Index,DOE Greater Than .20% Sulfur Diesel Import Data/PADD 2,> 20% Sulfur Imports/PADD2,000 barrels/day
DOEIDG23 Index,DOE Greater Than .20% Sulfur Diesel Import Data/PADD 3,> 20% Sulfur Imports/PADD3,000 barrels/day
DOEIDG24 Index,DOE Greater Than .20% Sulfur Diesel Import Data/PADD 4,> 20% Sulfur Imports/PADD4,000 barrels/day
DOEIDG25 Index,DOE Greater Than .20% Sulfur Diesel Import Data/PADD 5,> 20% Sulfur Imports/PADD5,000 barrels/day
DOEIDG52 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data,> 05 2% Sulfur Imports,1000 Barrels/Day
DOEIDIG2 Index,DOE Greater Than .20% Sulfur Diesel Import Data,> 20% Sulfur Imports,1000 Barrels/Day
DOEIDIS1 Index,DOE Distillates Import Data/PADD 1,Distillates Imports/PADD 1,1000 Barrels/Day
DOEIDIS2 Index,DOE Distillates Import Data/PADD 2,Distillates Imports/PADD 2,1000 Barrels/Day
DOEIDIS3 Index,DOE Distillates Import Data/PADD 3,Distillates Imports/PADD 3,1000 Barrels/Day
DOEIDIS4 Index,DOE Distillates Import Data/PADD 4,Distillates Imports/PADD 4,1000 Barrels/Day
DOEIDIS5 Index,DOE Distillates Import Data/PADD 5,Distillates Imports/PADD 5,1000 Barrels/Day
DOEIDIST Index,DOE Distillate Fuel Oil Total Import Data,DOE Tot Dist Fuel Oil Imports,1000 Barrels/Day
DOEIDL15 Index,DOE Distillate Ultra Low Sulfur Diesel Total Import Data,Ultra LSD Imports,1000 Barrels/Day
DOEIE5P1 Index,US DOE Conventional Gasoline Ed55 and Lower Imports/PADD1,DOE Ed55 & Lower Imports PADD1,'000 barrels/day
DOEIE5P2 Index,US DOE Conventional Gasoline Ed55 and Lower Imports/PADD2,DOE Ed55 & Lower Imports PADD2,'000 barrels/day
DOEIE5P3 Index,US DOE Conventional Gasoline Ed55 and Lower Imports/PADD3,DOE Ed55 & Lower Imports PADD3,'000 barrels/day
DOEIE5P4 Index,US DOE Conventional Gasoline Ed55 and Lower Imports/PADD4,DOE Ed55 & Lower Imports PADD4,'000 barrels/day
DOEIE5P5 Index,US DOE Conventional Gasoline Ed55 and Lower Imports/PADD5,DOE Ed55 & Lower Imports PADD5,'000 barrels/day
DOEIED55 Index,US DOE Conventional Gasoline Ed55 and Lower Total Imports,DOE Conventional Ed55 Imports,'000 barrels/day
DOEIFEP1 Index,US DOE Fuel Ethanol Imports Data/PADD1,DOE Fuel Ethanol Imports PADD1,'000 barrels/day
DOEIFEP2 Index,US DOE Fuel Ethanol Imports Data/PADD2,DOE Fuel Ethanol Imports PADD2,'000 barrels/day
DOEIFEP3 Index,US DOE Fuel Ethanol Imports Data/PADD3,DOE Fuel Ethanol Imports PADD3,'000 barrels/day
DOEIFEP4 Index,US DOE Fuel Ethanol Imports Data/PADD4,DOE Fuel Ethanol Imports PADD4,'000 barrels/day
DOEIFEP5 Index,US DOE Fuel Ethanol Imports Data/PADD5,DOE Fuel Ethanol Imports PADD5,'000 barrels/day
DOEIFETH Index,US DOE Fuel Ethanol Total Imports Data,DOE Fuel Ethanol Imports,'000 barrels/day
DOEIFMOG Index,US DOE Finished Motor Gasoline Total Imports Data,DOE Total Finished MoGas Imprt,1000 Barrels/Day
DOEIFMP1 Index,US DOE Finished Motor Gasoline Imports Data/PADD1,DOE Fin MoGas Import PADD1,1000 Barrels/Day
DOEIFMP2 Index,US DOE Finished Motor Gasoline Imports Data/PADD2,DOE Fin MoGas Imports PADD2,1000 Barrels/Day
DOEIFMP3 Index,US DOE Finished Motor Gasoline Imports Data/PADD3,DOE Fin MoGas Imports PADD3,1000 Barrels/Day
DOEIFMP4 Index,US DOE Finished Motor Gasoline Imports Data/PADD4,DOE Fin MoGas Imports PADD4,1000 Barrels/Day
DOEIFMP5 Index,US DOE Finished Motor Gasoline Imports Data/PADD5,DOE Fin MoGas Import PADD5,1000 Barrels/Day
DOEIG151 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data/PADD 1,> 15ppm to 500ppm/PADD 1,000 barrels/day
DOEIG152 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data/PADD 2,> 15ppm to 500ppm/PADD 2,000 barrels/day
DOEIG153 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data/PADD 3,> 15ppm to 500ppm/PADD 3,000 barrels/day
DOEIG154 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data/PADD 4,> 15ppm to 500ppm/PADD 4,000 barrels/day
DOEIG155 Index,DOE Greater Than .0015% to .05% Sulfur Diesel Import Data/PADD 5,> 15ppm to 500ppm/PADD 5,000 barrels/day
DOEIG521 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data/PADD 1,> 05 2% Sulfur Imports/PADD1,000 barrels/day
DOEIG522 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data/PADD 2,> 05 2% Sulfur Imports/PADD2,000 barrels/day
DOEIG523 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data/PADD 3,> 05 2% Sulfur Imports/PADD3,000 barrels/day
DOEIG524 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data/PADD 4,> 05 2% Sulfur Imports/PADD4,000 barrels/day
DOEIG525 Index,DOE Greater Than 0.05% to .20% Sulfur Diesel Import Data/PADD 5,> 05 2% Sulfur Imports/PADD5,000 barrels/day
DOEIGAS1 Index,DOE Motor Gasoline Import Data/PADD 1,Motor Gas Imports/PADD 1,1000 Barrels/Day
DOEIGAS2 Index,DOE Motor Gasoline Import Data/PADD 2,Motor Gas Imports/PADD 2,1000 Barrels/Day
DOEIGAS3 Index,DOE Motor Gasoline Import Data/PADD 3,Motor Gas Imports/PADD 3,1000 Barrels/Day
DOEIGAS4 Index,DOE Motor Gasoline Import Data/PADD 4,Motor Gas Imports/PADD 4,1000 Barrels/Day
DOEIGAS5 Index,DOE Motor Gasoline Import Data/PADD 5,Motor Gas Imports/PADD 5,1000 Barrels/Day
DOEIGE55 Index,US DOE Conventional Gasoline Greater than Ed55 Total Imports,DOE Conv > Ed55 Imports,'000 barrels/day
DOEIGEP1 Index,US DOE Conventional Greater than Ed55 Gasoline Imports/PADD1,DOE > Ed55 Imports PADD1,'000 barrels/day
DOEIGEP2 Index,US DOE Conventional Greater than Ed55 Gasoline Imports/PADD2,DOE > Ed55 Imports PADD2,'000 barrels/day
DOEIGEP3 Index,US DOE Conventional Greater than Ed55 Gasoline Imports/PADD3,DOE > Ed55 Imports PADD3,'000 barrels/day
DOEIGEP4 Index,US DOE Conventional Greater than Ed55 Gasoline Imports/PADD4,DOE > Ed55 Imports PADD4,'000 barrels/day
DOEIGEP5 Index,US DOE Conventional Greater than Ed55 Gasoline Imports/PADD5,DOE > Ed55 Imports PADD5,'000 barrels/day
DOEIGIP1 Index,DOE Oil Gross Imports Including Strategic Reserve Data/PADD1,DOE Total Oil Imp IncSPT PADD1,'000 barrels/day
DOEIGIP2 Index,DOE Oil Gross Imports Including Strategic Reserve Data/PADD2,DOE Total Oil Imp IncSPT PADD2,'000 barrels/day
DOEIGIP3 Index,DOE Oil Gross Imports Including Strategic Reserve Data/PADD3,DOE Total Oil Imp IncSPT PADD3,'000 barrels/day
DOEIGIP4 Index,DOE Oil Gross Imports Including Strategic Reserve Data/PADD4,DOE Total Oil Imp IncSPT PADD4,'000 barrels/day
DOEIGIP5 Index,DOE Oil Gross Imports Including Strategic Reserve Data/PADD5,DOE Total Oil Imp IncSPT PADD5,'000 barrels/day
DOEIGISP Index,DOE Gross Crude Oil and Oil Products Imports Including Strategic Reserve,DOE Grss Oil Imp Inc Strtgc Rv,'000 barrels/day
DOEIGTAB Index,US DOE GTAB Blending Component Total Import Data,DOE GTAB Bldn Comp Imports,'000 barrels/day
DOEIGTP1 Index,US DOE GTAB Blending Component Import Data/PADD1,DOE GTAB Imports PADD1,'000 barrels/day
DOEIGTP2 Index,US DOE GTAB Blending Component Imports/PADD2,DOE GTAB Imports PADD2,'000 barrels/day
DOEIGTP3 Index,US DOE GTAB Blending Component Import Data/PADD3,DOE GTAB Imports PADD3,'000 barrels/day
DOEIGTP4 Index,US DOE GTAB Blending Component Import Data/PADD4,DOE GTAB Imports PADD4,'000 barrels/day
DOEIGTP5 Index,US DOE GTAB Blending Component Import Data/PADD5,DOE GTAB Imports PADD5,'000 barrels/day
DOEIJET1 Index,DOE Jet Kerosene Import Data/PADD 1,Jet Kerosene Imports/PADD 1,1000 Barrels/Day
DOEIJET2 Index,DOE Jet Kerosene Import Data/PADD 2,Jet Kerosene Imports/PADD 2,1000 Barrels/Day
DOEIJET3 Index,DOE Jet Kerosene Import Data/PADD 3,Jet Kerosene Imports/PADD 3,1000 Barrels/Day
DOEIJET4 Index,DOE Jet Kerosene Import Data/PADD 4,Jet Kerosene Imports/PADD 4,1000 Barrels/Day
DOEIJET5 Index,DOE Jet Kerosene Import Data/PADD 5,Jet Kerosene Imports/PADD 5,1000 Barrels/Day
DOEIJETK Index,DOE Jet Fuel Kerosene Total Import Data,DOE Tot Jet Fuel Kero Imports,1000 Barrels/Day
DOEIKERO Index,US DOE Total Kerosene Imports Data,DOE Total Kerosene Imports,'000 barrels/day
DOEIL151 Index,DOE Distillate Ultra Low Sulfur Diesel Import Data/PADD1,Ultra LSD Imports/PADD1,1000 Barrels/Day
DOEIL152 Index,DOE Distillate Ultra Low Sulfur Diesel Import Data/PADD2,Ultra LSD Imports/PADD2,1000 Barrels/Day
DOEIL153 Index,DOE Distillate Ultra Low Sulfur Diesel Import Data/PADD3,Ultra LSD Imports/PADD3,1000 Barrels/Day
DOEIL154 Index,DOE Distillate Ultra Low Sulfur Diesel Import Data/PADD4,Ultra LSD Imports/PADD4,1000 Barrels/Day
DOEIL155 Index,DOE Distillate Ultra Low Sulfur Diesel Import Data/PADD5,Ultra LSD Imports/PADD5,1000 Barrels/Day
DOEILRGS Index,US DOE NGPLs/LRGs Total Imports Data,DOE NGPLs/LRGs Total Imports,'000 barrels/day
DOEIMGAS Index,DOE Motor Gasoline Total Import Data,DOE Total Motor Gas Imports,1000 Barrels/Day
DOEINICR Index,US DOE Crude Oil Net Imports Including Strategic Petroleum Reserve,DOE Crude Net Imports Inc SPR,1000 Barrels/Day
DOEINIPR Index,US DOE Refined Products Net Imports Including Strategic Petroleum Reserve,DOE Net Ref Prod Imprt IncSPR,1000 Barrels/Day
DOEIOCP1 Index,DOE Other Conventional Gasoline Import Data/PADD 1,Oth Conventional Imprts/PADD 1,1000 Barrels/Day
DOEIOCP2 Index,DOE Other Conventional Gasoline Import Data/PADD 2,Oth Conventional Imprts/PADD 2,1000 Barrels/Day
DOEIOCP3 Index,DOE Other Conventional Gasoline Import Data/PADD 3,Oth Conventional Imprts/PADD 3,1000 Barrels/Day
DOEIOCP4 Index,DOE Other Conventional Gasoline Import Data/PADD 4,Oth Conventional Imprts/PADD 4,1000 Barrels/Day
DOEIOCP5 Index,DOE Other Conventional Gasoline Import Data/PADD 5,Oth Conventional Imprts/PADD 5,1000 Barrels/Day
DOEIOOP1 Index,US DOE Other Oils Import Data/PADD1,DOE Other Oil Imports PADD1,'000 barrels/day
DOEIOOP2 Index,US DOE Other Oils Import Data/PADD2,DOE Other Oils Imports PADD2,'000 barrels/day
